Song	Singer	Fav Count	Play Count(w+)
想和你去吹吹风	张学友	922418	
一天到晚游泳的鱼	张雨生	677443	
天黑黑	孙燕姿	2921479	10
白鸽	伍佰 & China Blue	225105	
失恋阵线联盟	草蜢	4287948	20
流着泪的你的脸	任贤齐	534337	
当爱已成往事	张国荣	1492749	
小薇	黄品源	868464	
如果这都不算爱	张学友	5350454	10
一笑而过	那英	1499967	
无底洞	蔡健雅	944658	
恋曲1990	罗大佑	798344	
忘情水	刘德华	1808620	
我是不是该安静的走开	郭富城	358986	
曾经心痛	叶倩文	1213198	
水手	郑智化	4321798	10
笑忘书	王菲	1820078	
慢慢	张学友	4656032	10
简单爱	周杰伦	9814530	50
笑红尘	陈淑桦	742218	
口是心非	张雨生	1471927	
当爱在靠近	刘若英	2307592	20
其实你不懂我的心	童安格	903312	
今夜你会不会来	黎明	793881	
你的样子	罗大佑	302231	
十年	陈奕迅	16578070	70
为什么你背着我爱别人	许志安	578768	
吻别	张学友	4848267	20
朋友	周华健	2196335	10
粉红色的回忆	韩宝仪	1825934	1
萍聚	李翊君&李富兴	1286276	
爱就一个字	张信哲	4121816	20
姊妹	张惠妹	150067	
挪威的森林	伍佰 & China Blue	1168772	
胆小鬼	梁咏琪	2970591	
梦醒时分	陈淑桦	2010902	10
爱我的人和我爱的人	裘海正	1709055	
往事随风	齐秦	844990	
爱的初体验	张震岳	1541953	
七里香	周杰伦	16659235	100
窗外	李琛	1677294	
夜曲	周杰伦	12753534	100
雨蝶	李翊君	4010079	10
独角戏	许茹芸	4309927	10
知足	五月天	3552711	10
冷酷到底	羽泉	653203	
可爱女人	周杰伦	3318602	10
下沙	游鸿明	1268589	
爱就爱了	陈琳	623734	
霸王别姬	屠洪刚	1308705	
披着羊皮的狼	谭咏麟	1135320	
爱	小虎队	1255960	
花海	周杰伦	12391257	100
缘分的天空	孙楠	89817	
爱一个人好难	苏永康	1934669	
眉飞色舞	郑秀文	1101606	
囚鸟	彭羚	1941766	
故乡	许巍	459507	
你要的爱	戴佩妮	2020853	
天不下雨天不刮风天上有太阳	于文华&尹相杰	265091	
九九女儿红	陈少华	59748	
春泥	庾澄庆	3600020	
相约一九九八	那英&王菲	350481	
心雨	杨钰莹&毛宁	770531	
懂你	满文军	1427146	
恋曲1990	罗大佑	627934	
伤心雨	王子鸣	50838	
I Believe	孙楠	328398	
再回到从前	张镐哲	990286	
风飞沙	迪克牛仔	1516079	
一剪梅	费玉清	1725082	
我可以抱你吗	张惠妹	2557281	
至少还有你	林忆莲	5664972	10
最熟悉的陌生人	萧亚轩	4515006	10
痴心绝对	李圣杰	5116559	
算你狠	陈小春	2251935	
那么骄傲	金海心	2324090	1
爱你等于爱自己	王力宏	409765	
Don't Stop	蔡依林	63316	
勇气	梁静茹	4331956	20
曹操	林俊杰	6508911	20
记事本	陈慧琳	3210479	10
执着	田震	969875	
祝你平安	孙悦	314069	
单身情歌	林志炫	4391796	10
你在他乡还好吗	光头李进	661790	
2002年的第一场雪	刀郎	1434952	
爱情鸟	林依轮	96384	
来生缘	刘德华	179485	
夜夜夜夜	齐秦	1212351	
大海	张雨生	4168197	10
谢谢你的爱1999	谢霆锋	1459000	
黄昏	周传雄	10628737	30
小芳	李春波	963063	
潇洒走一回	叶倩文	2353800	
风中有朵雨做的云	孟庭苇	569120	
我只在乎你	邓丽君	287625	
笑脸	谢东	20859	
摘下满天星	郑少秋	151502	
给你们	张宇	7733338	10
梦醒时分	卓依婷	306127	
走过咖啡屋	千百惠	1183829	
昨夜星辰	高胜美	562201	
晚秋	毛宁	1392455	
信仰	张信哲	4313317	10
你怎么舍得我难过	黄品源	1699902	10
朋友别哭	吕方	1151600	
你的样子	林志炫	219583	
星语心愿	张柏芝	1600353	
爱我别走	张震岳	1020212	
当爱已成往事	林忆莲&李宗盛	353711	
有多少爱可以重来	迪克牛仔	1937018	10
大约在冬季	齐秦	237511	
女人花	梅艳芳	1795714	
为你我受冷风吹	林忆莲	3120116	10
刀马旦	CoCo李玟&周杰伦	2141532	
一生所爱	卢冠廷&莫文蔚	5160227	20
明天你是否依然爱我	童安格	1326454	
鬼迷心窍	李宗盛	534693	
独家记忆	陈小春	8690145	10
广岛之恋	张洪量&莫文蔚	183512	
童话	光良	4970180	20
我用自己的方式爱你	陈明真	772975	
爱要怎么说出口	赵传	1056100	
城里的月光	许美静	1802614	
凡人歌	李宗盛	461447	
当爱已成往事	张国荣	695260	
七月七日晴	许慧欣	2923112	
敢爱敢做	林子祥	1691871	1
一千个伤心的理由	张学友	4849821	10
故乡的云	费翔	491568	
酒干倘卖无	苏芮	1377048	
你的眼睛背叛你的心	郑中基	34300	
别问我是谁	王馨平	931600	
不浪漫罪名	王杰	6377825	20
我是不是该安静的走开	郭富城	1042113	
